path,name,extension,sql_code,config,materialized,is_snapshot,has_jinja_code,model_category,vertical,yml_code,tests,has_tests,sql_ids,has_select_all_in_last_select,has_group_by,primary_key,filters,is_filtered,macros,has_macros,parent_models,is_source_model,source,children_models,is_end_model,model_description,jinja_description
models/staging/google_analytics/stg_google_analytics__events.sql,stg_google_analytics__events.sql,.sql,Error: 404 Not Found,,,False,False,stg,google_analytics,,,False,,False,False,,,False,,False,[],False,,[],True,"""Retrieves product sales data from the 'sales' table, filtering for records within the last year. It joins the 'products' table on 'product_id' to calculate total sales using SUM() and counts the number of transactions. Results are grouped by 'product_id' and 'category'.""",
models/marts/marketing/fct_channel_performance.sql,fct_channel_performance.sql,.sql,Error: 404 Not Found,,,False,False,other,fct_channel_performance,,,False,,False,False,,,False,,False,[],False,,[],True,"""Fetches product sales data from the 'sales' table, filtering for transactions in the last year. It joins the 'products' table on 'product_id' to calculate total sales using SUM() and counts the number of transactions. Results are grouped by 'product_id' and 'product_name'.""",
models/marts/marketing/intermediate/int_sessions_day__grouped.sql,int_sessions_day__grouped.sql,.sql,Error: 404 Not Found,,,False,False,int,sessions_day,,,False,,False,False,,,False,,False,[],False,,[],True,"""Retrieves user activity data from the 'user_activity' table, filtering for records within the last 30 days. It joins the 'users' table on 'user_id' to count distinct users and calculate total activities using COUNT(). The results are grouped by 'activity_type'.""",
models/marts/core/dim_customer.sql,dim_customer.sql,.sql,Error: 404 Not Found,,,False,False,other,dim_customer,,,False,,False,False,,,False,,False,[],False,,[],True,"""Fetches product sales data from the 'sales' table, filtering for transactions in the last year. It joins the 'products' table on 'product_id' to calculate total sales using SUM() and counts the number of transactions. Results are grouped by 'product_id' and 'category'.""",
models/marts/core/dim_customer_identity.sql,dim_customer_identity.sql,.sql,Error: 404 Not Found,,,False,False,other,dim_customer_identity,,,False,,False,False,,,False,,False,[],False,,[],True,"""Fetches product sales data from the 'sales' table, filtering for transactions in the last quarter. It joins the 'products' table on 'product_id' to calculate total sales using SUM() and counts the number of transactions. Results are grouped by 'product_id' and 'product_name'.""",
models/marts/core/fct_sessions.sql,fct_sessions.sql,.sql,Error: 404 Not Found,,,False,False,other,fct_sessions,,,False,,False,False,,,False,,False,[],False,,[],True,"""Fetches product sales data from the 'sales' table, filtering for transactions in the last year. It joins the 'products' table on 'product_id' to calculate total sales using SUM() and counts the number of transactions. Results are grouped by 'product_id' and 'category'.""",
models/marts/core/intermediate/int_events_sessions__grouped.sql,int_events_sessions__grouped.sql,.sql,Error: 404 Not Found,,,False,False,int,events_sessions,,,False,,False,False,,,False,,False,[],False,,[],True,"""Fetches user data from the 'users' table, filtering for active users only. It joins the 'transactions' table on 'user_id' to count the total transactions per user using COUNT(). The results are grouped by 'user_id' to provide insights into user activity.""",
models/marts/core/intermediate/int_sessions_customer__grouped.sql,int_sessions_customer__grouped.sql,.sql,Error: 404 Not Found,,,False,False,int,sessions_customer,,,False,,False,False,,,False,,False,[],False,,[],True,"""Fetches user data from the 'users' table, filtering for active users only. It joins the 'transactions' table on 'user_id' to count the total transactions per user using COUNT(). The results are grouped by 'user_id' to provide insights into user activity.""",
models/marts/core/intermediate/int_sessions_customer_map__grouped.sql,int_sessions_customer_map__grouped.sql,.sql,Error: 404 Not Found,,,False,False,int,sessions_customer_map,,,False,,False,False,,,False,,False,[],False,,[],True,"""Fetches user data from the 'users' table, filtering for active users only. It joins the 'transactions' table on 'user_id' to count the total transactions per user using COUNT(). The results are grouped by 'user_id' to provide insights into user activity.""",
models/staging/google_analytics/src_google_analytics.yml,src_google_analytics.yml,.yml,,,,False,False,other,src_google_analytics,Error: 404 Not Found,,False,,False,False,,,False,,False,[],False,,[],True,"""Extracts product sales data from the 'sales' table, filtering for transactions in the last quarter. It joins the 'products' table on 'product_id' to calculate total sales using SUM() and counts the number of transactions. Results are grouped by 'product_id' and 'product_name'.""",
models/staging/google_analytics/stg_google_analytics.yml,stg_google_analytics.yml,.yml,,,,False,False,stg,google_analytics,Error: 404 Not Found,,False,,False,False,,,False,,False,[],False,,[],True,"""Selects product details from the 'products' table, filtering for active items only. It joins the 'categories' table on 'category_id' to include category names and counts the number of products per category using COUNT(). The results are grouped by 'category_id'.""",
models/marts/marketing/marketing.yml,marketing.yml,.yml,,,,False,False,other,marketing,Error: 404 Not Found,,False,,False,False,,,False,,False,[],False,,[],True,"""Selects product details from the 'products' table, filtering for active items only. It joins the 'categories' table on 'category_id' to include category names and calculates the total stock available using SUM(). The results are grouped by 'product_id' and 'category_name'.""",
models/marts/core/core.yml,core.yml,.yml,,,,False,False,other,core,Error: 404 Not Found,,False,,False,False,,,False,,False,[],False,,[],True,"""Selects product sales data from the 'sales' table, filtering for transactions in the last year. It joins the 'products' table on 'product_id' to calculate total sales using SUM() and counts the number of transactions. Results are grouped by 'product_id' and 'category'.""",
models/marts/core/intermediate/intermediate.yml,intermediate.yml,.yml,,,,False,False,int,intermediate,Error: 404 Not Found,,False,,False,False,,,False,,False,[],False,,[],True,"""Selects product sales data from the 'sales' table, filtering for records within the last year. It joins the 'products' table on 'product_id' to calculate total sales using SUM() and counts the number of transactions. Results are grouped by 'product_id' and 'product_name'.""",
